INFO 2024-08-07 14:01:35,381 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-07 14:01:35,615 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\template\context.py first seen with mtime 1721790081.7895606
DEBUG 2024-08-07 14:01:35,615 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1721790081.8611288
DEBUG 2024-08-07 14:01:35,615 autoreload File C:\Python312\Lib\graphlib.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,615 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\core\files\locks.py first seen with mtime 1721790081.5222783
DEBUG 2024-08-07 14:01:35,616 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\markdown\util.py first seen with mtime 1721867044.6995306
DEBUG 2024-08-07 14:01:35,616 autoreload File C:\Python312\Lib\queue.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,616 autoreload File C:\Python312\Lib\copyreg.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,616 autoreload File C:\Python312\Lib\pkgutil.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,616 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\shortcuts.py first seen with mtime 1721790078.269288
DEBUG 2024-08-07 14:01:35,616 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1721790080.57568
DEBUG 2024-08-07 14:01:35,617 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1721790081.4797747
DEBUG 2024-08-07 14:01:35,617 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\views\generic\list.py first seen with mtime 1721790081.893131
DEBUG 2024-08-07 14:01:35,617 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\db\backends\sqlite3\_functions.py first seen with mtime 1721790081.623304
DEBUG 2024-08-07 14:01:35,617 autoreload File C:\Python312\Lib\subprocess.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,617 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1721790081.8425684
